Run,Operation,Implementation,Datatype,Matrix Size,MetricType,Value
0,1,daphneMap,f64,100,Execution Time,1.5065147876739502
0,1,daphneMap,f64,100,Memory Consumption,121.58984375
0,1,daphneMap,f64,100,Average CPU Load,12.5
0,1,daphneMap,f64,1000,Execution Time,1.502988338470459
0,1,daphneMap,f64,1000,Memory Consumption,138.8359375
0,1,daphneMap,f64,1000,Average CPU Load,18.6
0,1,daphneMap,f64,2896,Execution Time,3.005737543106079
0,1,daphneMap,f64,2896,Memory Consumption,253.2734375
0,1,daphneMap,f64,2896,Average CPU Load,27.6
0,1,daphneMap,f64,5792,Execution Time,9.011515617370605
0,1,daphneMap,f64,5792,Memory Consumption,631.38671875
0,1,daphneMap,f64,5792,Average CPU Load,28.000000000000004
0,4,daphneMap,f64,100,Execution Time,1.5036046504974365
0,4,daphneMap,f64,100,Memory Consumption,122.40625
0,4,daphneMap,f64,100,Average CPU Load,29.8
0,4,daphneMap,f64,1000,Execution Time,1.5031306743621826
0,4,daphneMap,f64,1000,Memory Consumption,133.94140625
0,4,daphneMap,f64,1000,Average CPU Load,34.1
0,4,daphneMap,f64,2896,Execution Time,6.0114710330963135
0,4,daphneMap,f64,2896,Memory Consumption,253.38671875
0,4,daphneMap,f64,2896,Average CPU Load,31.075
0,4,daphneMap,f64,5792,Execution Time,19.53106427192688
0,4,daphneMap,f64,5792,Memory Consumption,633.51171875
0,4,daphneMap,f64,5792,Average CPU Load,32.36923076923077
0,5,daphneMap,f64,100,Execution Time,1.5037555694580078
0,5,daphneMap,f64,100,Memory Consumption,121.1484375
0,5,daphneMap,f64,100,Average CPU Load,25.5
0,5,daphneMap,f64,1000,Execution Time,1.504032850265503
0,5,daphneMap,f64,1000,Memory Consumption,139.234375
0,5,daphneMap,f64,1000,Average CPU Load,41.0
0,5,daphneMap,f64,2896,Execution Time,9.015061378479004
0,5,daphneMap,f64,2896,Memory Consumption,252.41796875
0,5,daphneMap,f64,2896,Average CPU Load,31.600000000000005
0,5,daphneMap,f64,5792,Execution Time,25.537211894989014
0,5,daphneMap,f64,5792,Memory Consumption,633.96875
0,5,daphneMap,f64,5792,Average CPU Load,34.26470588235294
0,1,daphneMap,int64,100,Execution Time,1.5036215782165527
0,1,daphneMap,int64,100,Memory Consumption,122.1015625
0,1,daphneMap,int64,100,Average CPU Load,13.1
0,1,daphneMap,int64,1000,Execution Time,1.502685546875
0,1,daphneMap,int64,1000,Memory Consumption,138.296875
0,1,daphneMap,int64,1000,Average CPU Load,19.2
0,1,daphneMap,int64,2896,Execution Time,3.0052146911621094
0,1,daphneMap,int64,2896,Memory Consumption,251.30859375
0,1,daphneMap,int64,2896,Average CPU Load,26.5
0,1,daphneMap,int64,5792,Execution Time,9.012557983398438
0,1,daphneMap,int64,5792,Memory Consumption,631.2421875
0,1,daphneMap,int64,5792,Average CPU Load,27.566666666666666
0,4,daphneMap,int64,100,Execution Time,1.5028345584869385
0,4,daphneMap,int64,100,Memory Consumption,120.1328125
0,4,daphneMap,int64,100,Average CPU Load,12.5
0,4,daphneMap,int64,1000,Execution Time,1.5028748512268066
0,4,daphneMap,int64,1000,Memory Consumption,137.30859375
0,4,daphneMap,int64,1000,Average CPU Load,20.5
0,4,daphneMap,int64,2896,Execution Time,3.004666805267334
0,4,daphneMap,int64,2896,Memory Consumption,249.7421875
0,4,daphneMap,int64,2896,Average CPU Load,30.5
0,4,daphneMap,int64,5792,Execution Time,12.019907712936401
0,4,daphneMap,int64,5792,Memory Consumption,633.6796875
0,4,daphneMap,int64,5792,Average CPU Load,25.187500000000004
0,5,daphneMap,int64,100,Execution Time,1.505756139755249
0,5,daphneMap,int64,100,Memory Consumption,123.75390625
0,5,daphneMap,int64,100,Average CPU Load,12.8
0,5,daphneMap,int64,1000,Execution Time,1.503204584121704
0,5,daphneMap,int64,1000,Memory Consumption,139.3359375
0,5,daphneMap,int64,1000,Average CPU Load,25.2
0,5,daphneMap,int64,2896,Execution Time,4.506111145019531
0,5,daphneMap,int64,2896,Memory Consumption,250.06640625
0,5,daphneMap,int64,2896,Average CPU Load,29.03333333333333
0,5,daphneMap,int64,5792,Execution Time,16.524641513824463
0,5,daphneMap,int64,5792,Memory Consumption,634.109375
0,5,daphneMap,int64,5792,Average CPU Load,25.436363636363634
0,9,daphneMap,int64,100,Execution Time,1.5023698806762695
0,9,daphneMap,int64,100,Memory Consumption,123.25390625
0,9,daphneMap,int64,100,Average CPU Load,13.2
0,9,daphneMap,int64,1000,Execution Time,1.5055267810821533
0,9,daphneMap,int64,1000,Memory Consumption,142.07421875
0,9,daphneMap,int64,1000,Average CPU Load,20.7
0,9,daphneMap,int64,2896,Execution Time,3.003835439682007
0,9,daphneMap,int64,2896,Memory Consumption,253.14453125
0,9,daphneMap,int64,2896,Average CPU Load,30.799999999999997
0,9,daphneMap,int64,5792,Execution Time,12.015584468841553
0,9,daphneMap,int64,5792,Memory Consumption,637.40234375
0,9,daphneMap,int64,5792,Average CPU Load,25.487499999999997
0,10,daphneMap,int64,100,Execution Time,1.5029535293579102
0,10,daphneMap,int64,100,Memory Consumption,121.76953125
0,10,daphneMap,int64,100,Average CPU Load,13.7
0,10,daphneMap,int64,1000,Execution Time,1.502913475036621
0,10,daphneMap,int64,1000,Memory Consumption,138.84765625
0,10,daphneMap,int64,1000,Average CPU Load,22.1
0,10,daphneMap,int64,2896,Execution Time,4.506701946258545
0,10,daphneMap,int64,2896,Memory Consumption,249.54296875
0,10,daphneMap,int64,2896,Average CPU Load,22.96666666666667
0,10,daphneMap,int64,5792,Execution Time,13.517982006072998
0,10,daphneMap,int64,5792,Memory Consumption,638.390625
0,10,daphneMap,int64,5792,Average CPU Load,25.966666666666665
0,1,daphneInternal,f64,100,Execution Time,1.5027284622192383
0,1,daphneInternal,f64,100,Memory Consumption,118.28515625
0,1,daphneInternal,f64,100,Average CPU Load,9.5
0,1,daphneInternal,f64,1000,Execution Time,1.5026566982269287
0,1,daphneInternal,f64,1000,Memory Consumption,129.08203125
0,1,daphneInternal,f64,1000,Average CPU Load,16.2
0,1,daphneInternal,f64,2896,Execution Time,1.5040123462677002
0,1,daphneInternal,f64,2896,Memory Consumption,185.98046875
0,1,daphneInternal,f64,2896,Average CPU Load,15.7
0,1,daphneInternal,f64,5792,Execution Time,1.5021791458129883
0,1,daphneInternal,f64,5792,Memory Consumption,534.78515625
0,1,daphneInternal,f64,5792,Average CPU Load,27.0
0,1,daphneInternal,int64,100,Execution Time,1.5031750202178955
0,1,daphneInternal,int64,100,Memory Consumption,117.0859375
0,1,daphneInternal,int64,100,Average CPU Load,10.4
0,1,daphneInternal,int64,1000,Execution Time,1.5058410167694092
0,1,daphneInternal,int64,1000,Memory Consumption,133.96875
0,1,daphneInternal,int64,1000,Average CPU Load,14.7
0,1,daphneInternal,int64,2896,Execution Time,1.5027730464935303
0,1,daphneInternal,int64,2896,Memory Consumption,141.52734375
0,1,daphneInternal,int64,2896,Average CPU Load,14.9
0,1,daphneInternal,int64,5792,Execution Time,1.5033860206604004
0,1,daphneInternal,int64,5792,Memory Consumption,591.171875
0,1,daphneInternal,int64,5792,Average CPU Load,23.1
0,4,daphneInternal,int64,100,Execution Time,1.5027439594268799
0,4,daphneInternal,int64,100,Memory Consumption,124.93359375
0,4,daphneInternal,int64,100,Average CPU Load,10.4
0,4,daphneInternal,int64,1000,Execution Time,1.50435471534729
0,4,daphneInternal,int64,1000,Memory Consumption,132.8671875
0,4,daphneInternal,int64,1000,Average CPU Load,23.7
0,4,daphneInternal,int64,2896,Execution Time,1.5034539699554443
0,4,daphneInternal,int64,2896,Memory Consumption,229.15625
0,4,daphneInternal,int64,2896,Average CPU Load,20.9
0,4,daphneInternal,int64,5792,Execution Time,3.0056099891662598
0,4,daphneInternal,int64,5792,Memory Consumption,633.2265625
0,4,daphneInternal,int64,5792,Average CPU Load,17.900000000000002
0,5,daphneInternal,int64,100,Execution Time,1.5029211044311523
0,5,daphneInternal,int64,100,Memory Consumption,121.9375
0,5,daphneInternal,int64,100,Average CPU Load,11.7
0,5,daphneInternal,int64,1000,Execution Time,1.502826452255249
0,5,daphneInternal,int64,1000,Memory Consumption,152.16796875
0,5,daphneInternal,int64,1000,Average CPU Load,15.7
0,5,daphneInternal,int64,2896,Execution Time,1.502803087234497
0,5,daphneInternal,int64,2896,Memory Consumption,357.66796875
0,5,daphneInternal,int64,2896,Average CPU Load,34.8
0,5,daphneInternal,int64,5792,Execution Time,6.009156703948975
0,5,daphneInternal,int64,5792,Memory Consumption,1115.7109375
0,5,daphneInternal,int64,5792,Average CPU Load,23.375
0,9,daphneInternal,int64,100,Execution Time,1.5026860237121582
0,9,daphneInternal,int64,100,Memory Consumption,125.80078125
0,9,daphneInternal,int64,100,Average CPU Load,13.3
0,9,daphneInternal,int64,1000,Execution Time,1.505551815032959
0,9,daphneInternal,int64,1000,Memory Consumption,141.82421875
0,9,daphneInternal,int64,1000,Average CPU Load,22.1
0,9,daphneInternal,int64,2896,Execution Time,3.004558801651001
0,9,daphneInternal,int64,2896,Memory Consumption,253.44140625
0,9,daphneInternal,int64,2896,Average CPU Load,30.700000000000003
0,9,daphneInternal,int64,5792,Execution Time,12.017074346542358
0,9,daphneInternal,int64,5792,Memory Consumption,639.50390625
0,9,daphneInternal,int64,5792,Average CPU Load,26.4625
0,10,daphneInternal,int64,100,Execution Time,1.5027718544006348
0,10,daphneInternal,int64,100,Memory Consumption,119.99609375
0,10,daphneInternal,int64,100,Average CPU Load,11.5
0,10,daphneInternal,int64,1000,Execution Time,1.5027034282684326
0,10,daphneInternal,int64,1000,Memory Consumption,151.015625
0,10,daphneInternal,int64,1000,Average CPU Load,28.7
0,10,daphneInternal,int64,2896,Execution Time,1.5032157897949219
0,10,daphneInternal,int64,2896,Memory Consumption,301.6875
0,10,daphneInternal,int64,2896,Average CPU Load,30.0
0,10,daphneInternal,int64,5792,Execution Time,3.0048277378082275
0,10,daphneInternal,int64,5792,Memory Consumption,1145.15234375
0,10,daphneInternal,int64,5792,Average CPU Load,31.400000000000002
0,1,Python_Numpy_Approach,f64,100,Execution Time,1.5027868747711182
0,1,Python_Numpy_Approach,f64,100,Memory Consumption,63.296875
0,1,Python_Numpy_Approach,f64,100,Average CPU Load,18.0
0,1,Python_Numpy_Approach,f64,1000,Execution Time,1.5026257038116455
0,1,Python_Numpy_Approach,f64,1000,Memory Consumption,76.703125
0,1,Python_Numpy_Approach,f64,1000,Average CPU Load,21.1
0,1,Python_Numpy_Approach,f64,2896,Execution Time,1.5029289722442627
0,1,Python_Numpy_Approach,f64,2896,Memory Consumption,169.5
0,1,Python_Numpy_Approach,f64,2896,Average CPU Load,29.1
0,1,Python_Numpy_Approach,f64,5792,Execution Time,1.5053889751434326
0,1,Python_Numpy_Approach,f64,5792,Memory Consumption,296.96875
0,1,Python_Numpy_Approach,f64,5792,Average CPU Load,20.0
0,4,Python_Numpy_Approach,f64,100,Execution Time,1.5025808811187744
0,4,Python_Numpy_Approach,f64,100,Memory Consumption,63.05859375
0,4,Python_Numpy_Approach,f64,100,Average CPU Load,18.9
0,4,Python_Numpy_Approach,f64,1000,Execution Time,1.5025739669799805
0,4,Python_Numpy_Approach,f64,1000,Memory Consumption,83.12890625
0,4,Python_Numpy_Approach,f64,1000,Average CPU Load,23.2
0,4,Python_Numpy_Approach,f64,2896,Execution Time,1.5047385692596436
0,4,Python_Numpy_Approach,f64,2896,Memory Consumption,219.37890625
0,4,Python_Numpy_Approach,f64,2896,Average CPU Load,16.0
0,4,Python_Numpy_Approach,f64,5792,Execution Time,1.5029516220092773
0,4,Python_Numpy_Approach,f64,5792,Memory Consumption,830.40234375
0,4,Python_Numpy_Approach,f64,5792,Average CPU Load,26.1
