Run,Operation,Implementation,Datatype,Matrix Size,MetricType,Value
0,1,daphneMap,f64,100,Execution Time,1.5060696601867676
0,1,daphneMap,f64,100,Memory Consumption,120.86328125
0,1,daphneMap,f64,100,Average CPU Load,13.7
0,1,daphneMap,f64,1000,Execution Time,1.505995750427246
0,1,daphneMap,f64,1000,Memory Consumption,139.8203125
0,1,daphneMap,f64,1000,Average CPU Load,18.5
0,1,daphneMap,f64,2896,Execution Time,3.005204916000366
0,1,daphneMap,f64,2896,Memory Consumption,250.43359375
0,1,daphneMap,f64,2896,Average CPU Load,30.25
0,1,daphneMap,f64,5792,Execution Time,9.015425682067871
0,1,daphneMap,f64,5792,Memory Consumption,636.06640625
0,1,daphneMap,f64,5792,Average CPU Load,27.48333333333333
0,10,daphneMap,f64,100,Execution Time,1.502943754196167
0,10,daphneMap,f64,100,Memory Consumption,125.76171875
0,10,daphneMap,f64,100,Average CPU Load,13.2
0,10,daphneMap,f64,1000,Execution Time,1.5026369094848633
0,10,daphneMap,f64,1000,Memory Consumption,139.6953125
0,10,daphneMap,f64,1000,Average CPU Load,21.9
0,10,daphneMap,f64,2896,Execution Time,4.506960153579712
0,10,daphneMap,f64,2896,Memory Consumption,252.7265625
0,10,daphneMap,f64,2896,Average CPU Load,22.399999999999995
0,10,daphneMap,f64,5792,Execution Time,13.518151998519897
0,10,daphneMap,f64,5792,Memory Consumption,636.6640625
0,10,daphneMap,f64,5792,Average CPU Load,25.522222222222222
0,4,daphneMap,f64,100,Execution Time,1.502720594406128
0,4,daphneMap,f64,100,Memory Consumption,120.15234375
0,4,daphneMap,f64,100,Average CPU Load,12.2
0,4,daphneMap,f64,1000,Execution Time,1.5027599334716797
0,4,daphneMap,f64,1000,Memory Consumption,139.95703125
0,4,daphneMap,f64,1000,Average CPU Load,20.0
0,4,daphneMap,f64,2896,Execution Time,3.004857301712036
0,4,daphneMap,f64,2896,Memory Consumption,250.37109375
0,4,daphneMap,f64,2896,Average CPU Load,30.5
0,4,daphneMap,f64,5792,Execution Time,10.516404390335083
0,4,daphneMap,f64,5792,Memory Consumption,634.39453125
0,4,daphneMap,f64,5792,Average CPU Load,27.085714285714285
0,1,daphneMap,f32,100,Execution Time,1.5028836727142334
0,1,daphneMap,f32,100,Memory Consumption,124.1484375
0,1,daphneMap,f32,100,Average CPU Load,13.7
0,1,daphneMap,f32,1000,Execution Time,1.5027713775634766
0,1,daphneMap,f32,1000,Memory Consumption,133.3671875
0,1,daphneMap,f32,1000,Average CPU Load,18.7
0,1,daphneMap,f32,4096,Execution Time,4.5071916580200195
0,1,daphneMap,f32,4096,Memory Consumption,251.7578125
0,1,daphneMap,f32,4096,Average CPU Load,28.7
0,1,daphneMap,f32,8192,Execution Time,18.02513027191162
0,1,daphneMap,f32,8192,Memory Consumption,632.80078125
0,1,daphneMap,f32,8192,Average CPU Load,26.491666666666664
0,10,daphneMap,f32,100,Execution Time,1.5029211044311523
0,10,daphneMap,f32,100,Memory Consumption,123.15234375
0,10,daphneMap,f32,100,Average CPU Load,13.2
0,10,daphneMap,f32,1000,Execution Time,1.5032212734222412
0,10,daphneMap,f32,1000,Memory Consumption,131.73046875
0,10,daphneMap,f32,1000,Average CPU Load,22.6
0,10,daphneMap,f32,4096,Execution Time,7.510985374450684
0,10,daphneMap,f32,4096,Memory Consumption,251.984375
0,10,daphneMap,f32,4096,Average CPU Load,24.46
0,10,daphneMap,f32,8192,Execution Time,25.535471439361572
0,10,daphneMap,f32,8192,Memory Consumption,634.7890625
0,10,daphneMap,f32,8192,Average CPU Load,26.46470588235294
0,4,daphneMap,f32,100,Execution Time,1.5028979778289795
0,4,daphneMap,f32,100,Memory Consumption,120.85546875
0,4,daphneMap,f32,100,Average CPU Load,13.2
0,4,daphneMap,f32,1000,Execution Time,1.5027053356170654
0,4,daphneMap,f32,1000,Memory Consumption,131.43359375
0,4,daphneMap,f32,1000,Average CPU Load,19.5
0,4,daphneMap,f32,4096,Execution Time,6.011946201324463
0,4,daphneMap,f32,4096,Memory Consumption,252.25
0,4,daphneMap,f32,4096,Average CPU Load,24.85
0,4,daphneMap,f32,8192,Execution Time,21.02982473373413
0,4,daphneMap,f32,8192,Memory Consumption,636.8046875
0,4,daphneMap,f32,8192,Average CPU Load,25.57857142857143
0,1,daphneMap,int64,100,Execution Time,1.5033528804779053
0,1,daphneMap,int64,100,Memory Consumption,124.98828125
0,1,daphneMap,int64,100,Average CPU Load,11.3
0,1,daphneMap,int64,1000,Execution Time,1.5034353733062744
0,1,daphneMap,int64,1000,Memory Consumption,136.140625
0,1,daphneMap,int64,1000,Average CPU Load,19.0
0,1,daphneMap,int64,2896,Execution Time,3.00439190864563
0,1,daphneMap,int64,2896,Memory Consumption,250.203125
0,1,daphneMap,int64,2896,Average CPU Load,26.299999999999997
0,1,daphneMap,int64,5792,Execution Time,9.016031503677368
0,1,daphneMap,int64,5792,Memory Consumption,632.265625
0,1,daphneMap,int64,5792,Average CPU Load,26.45
0,10,daphneMap,int64,100,Execution Time,1.5029821395874023
0,10,daphneMap,int64,100,Memory Consumption,122.8671875
0,10,daphneMap,int64,100,Average CPU Load,13.4
0,10,daphneMap,int64,1000,Execution Time,1.5027923583984375
0,10,daphneMap,int64,1000,Memory Consumption,136.7734375
0,10,daphneMap,int64,1000,Average CPU Load,21.7
0,10,daphneMap,int64,2896,Execution Time,4.507456302642822
0,10,daphneMap,int64,2896,Memory Consumption,251.2109375
0,10,daphneMap,int64,2896,Average CPU Load,22.333333333333332
0,10,daphneMap,int64,5792,Execution Time,13.518138885498047
0,10,daphneMap,int64,5792,Memory Consumption,631.046875
0,10,daphneMap,int64,5792,Average CPU Load,26.277777777777775
0,4,daphneMap,int64,100,Execution Time,1.5030112266540527
0,4,daphneMap,int64,100,Memory Consumption,122.6796875
0,4,daphneMap,int64,100,Average CPU Load,13.0
0,4,daphneMap,int64,1000,Execution Time,1.5030174255371094
0,4,daphneMap,int64,1000,Memory Consumption,145.4140625
0,4,daphneMap,int64,1000,Average CPU Load,20.5
0,4,daphneMap,int64,2896,Execution Time,3.005009412765503
0,4,daphneMap,int64,2896,Memory Consumption,250.79296875
0,4,daphneMap,int64,2896,Average CPU Load,30.1
0,4,daphneMap,int64,5792,Execution Time,12.01794958114624
0,4,daphneMap,int64,5792,Memory Consumption,634.4921875
0,4,daphneMap,int64,5792,Average CPU Load,25.225
0,1,daphneMap,int32,100,Execution Time,1.506075382232666
0,1,daphneMap,int32,100,Memory Consumption,120.47265625
0,1,daphneMap,int32,100,Average CPU Load,12.3
0,1,daphneMap,int32,1000,Execution Time,1.5027709007263184
0,1,daphneMap,int32,1000,Memory Consumption,128.68359375
0,1,daphneMap,int32,1000,Average CPU Load,19.0
0,1,daphneMap,int32,4096,Execution Time,4.506989479064941
0,1,daphneMap,int32,4096,Memory Consumption,250.17578125
0,1,daphneMap,int32,4096,Average CPU Load,28.900000000000002
0,1,daphneMap,int32,8192,Execution Time,18.024862051010132
0,1,daphneMap,int32,8192,Memory Consumption,648.02734375
0,1,daphneMap,int32,8192,Average CPU Load,25.333333333333332
0,10,daphneMap,int32,100,Execution Time,1.5028390884399414
0,10,daphneMap,int32,100,Memory Consumption,122.2890625
0,10,daphneMap,int32,100,Average CPU Load,13.3
0,10,daphneMap,int32,1000,Execution Time,1.5034101009368896
0,10,daphneMap,int32,1000,Memory Consumption,131.8046875
0,10,daphneMap,int32,1000,Average CPU Load,22.3
0,10,daphneMap,int32,4096,Execution Time,7.511287212371826
0,10,daphneMap,int32,4096,Memory Consumption,250.55859375
0,10,daphneMap,int32,4096,Average CPU Load,25.08
0,10,daphneMap,int32,8192,Execution Time,27.035462856292725
0,10,daphneMap,int32,8192,Memory Consumption,674.53515625
0,10,daphneMap,int32,8192,Average CPU Load,26.433333333333334
0,4,daphneMap,int32,100,Execution Time,1.5036771297454834
0,4,daphneMap,int32,100,Memory Consumption,125.00390625
0,4,daphneMap,int32,100,Average CPU Load,12.5
0,4,daphneMap,int32,1000,Execution Time,1.5030865669250488
0,4,daphneMap,int32,1000,Memory Consumption,134.33984375
0,4,daphneMap,int32,1000,Average CPU Load,20.5
0,4,daphneMap,int32,4096,Execution Time,6.008273363113403
0,4,daphneMap,int32,4096,Memory Consumption,296.5
0,4,daphneMap,int32,4096,Average CPU Load,27.975
0,4,daphneMap,int32,8192,Execution Time,22.53064489364624
