Run,Operation,Implementation,Datatype,Matrix Size,MetricType,Value
0,1,daphneMap,f64,1500,Execution Time,3.005742073059082
0,1,daphneMap,f64,1500,Memory Consumption,145.08984375
0,1,daphneMap,f64,1500,Average CPU Load,13.15
0,10,daphneMap,f64,1500,Execution Time,3.0051138401031494
0,10,daphneMap,f64,1500,Memory Consumption,145.97265625
0,10,daphneMap,f64,1500,Average CPU Load,14.899999999999999
0,5,daphneMap,f64,1500,Execution Time,3.0058236122131348
0,5,daphneMap,f64,1500,Memory Consumption,146.49609375
0,5,daphneMap,f64,1500,Average CPU Load,16.75
0,1,daphneMap,f32,1500,Execution Time,1.5049846172332764
0,1,daphneMap,f32,1500,Memory Consumption,129.8984375
0,1,daphneMap,f32,1500,Average CPU Load,24.0
0,10,daphneMap,f32,1500,Execution Time,3.0058014392852783
0,10,daphneMap,f32,1500,Memory Consumption,130.0078125
0,10,daphneMap,f32,1500,Average CPU Load,14.5
0,5,daphneMap,f32,1500,Execution Time,3.0056753158569336
0,5,daphneMap,f32,1500,Memory Consumption,129.76953125
0,5,daphneMap,f32,1500,Average CPU Load,16.8
0,1,daphneMap,int64,1500,Execution Time,3.005603551864624
0,1,daphneMap,int64,1500,Memory Consumption,146.171875
0,1,daphneMap,int64,1500,Average CPU Load,12.15
0,10,daphneMap,int64,1500,Execution Time,3.005692720413208
0,10,daphneMap,int64,1500,Memory Consumption,147.09375
0,10,daphneMap,int64,1500,Average CPU Load,14.899999999999999
0,5,daphneMap,int64,1500,Execution Time,3.005453586578369
0,5,daphneMap,int64,1500,Memory Consumption,147.3203125
0,5,daphneMap,int64,1500,Average CPU Load,17.1
0,1,daphneMap,int32,1500,Execution Time,3.006568431854248
0,1,daphneMap,int32,1500,Memory Consumption,130.09375
0,1,daphneMap,int32,1500,Average CPU Load,12.049999999999999
0,10,daphneMap,int32,1500,Execution Time,3.0059356689453125
0,10,daphneMap,int32,1500,Memory Consumption,129.4765625
0,10,daphneMap,int32,1500,Average CPU Load,15.549999999999999
0,5,daphneMap,int32,1500,Execution Time,3.0048627853393555
0,5,daphneMap,int32,1500,Memory Consumption,129.421875
0,5,daphneMap,int32,1500,Average CPU Load,17.15
0,1,daphneMap,int8,1500,Execution Time,1.50321626663208
0,1,daphneMap,int8,1500,Memory Consumption,127.0234375
0,1,daphneMap,int8,1500,Average CPU Load,23.6
0,10,daphneMap,int8,1500,Execution Time,3.0056276321411133
0,10,daphneMap,int8,1500,Memory Consumption,123.2109375
0,10,daphneMap,int8,1500,Average CPU Load,15.05
0,5,daphneMap,int8,1500,Execution Time,3.0056838989257812
0,5,daphneMap,int8,1500,Memory Consumption,123.3046875
0,5,daphneMap,int8,1500,Average CPU Load,17.2
0,1,daphneMap,uint64,1500,Execution Time,3.005622148513794
0,1,daphneMap,uint64,1500,Memory Consumption,146.1484375
0,1,daphneMap,uint64,1500,Average CPU Load,12.200000000000001
0,10,daphneMap,uint64,1500,Execution Time,3.0055487155914307
0,10,daphneMap,uint64,1500,Memory Consumption,145.7578125
0,10,daphneMap,uint64,1500,Average CPU Load,15.2
0,5,daphneMap,uint64,1500,Execution Time,3.0064640045166016
0,5,daphneMap,uint64,1500,Memory Consumption,147.0234375
0,5,daphneMap,uint64,1500,Average CPU Load,16.75
0,1,daphneMap,uint8,1500,Execution Time,1.503528118133545
0,1,daphneMap,uint8,1500,Memory Consumption,116.44140625
0,1,daphneMap,uint8,1500,Average CPU Load,23.5
0,10,daphneMap,uint8,1500,Execution Time,3.0054686069488525
0,10,daphneMap,uint8,1500,Memory Consumption,116.7734375
0,10,daphneMap,uint8,1500,Average CPU Load,14.45
0,5,daphneMap,uint8,1500,Execution Time,3.0056238174438477
0,5,daphneMap,uint8,1500,Memory Consumption,117.71875
0,5,daphneMap,uint8,1500,Average CPU Load,16.65
0,1,daphneInternal,f64,1500,Execution Time,1.5032398700714111
0,1,daphneInternal,f64,1500,Memory Consumption,135.29296875
0,1,daphneInternal,f64,1500,Average CPU Load,14.4
