Run,Operation,Implementation,Datatype,Matrix Size,MetricType,Value
0,1,daphneMap,f64,100,Execution Time,1.5026049613952637
0,1,daphneMap,f64,100,Memory Consumption,114.12109375
0,1,daphneMap,f64,100,Average CPU Load,20.4
0,1,daphneMap,f64,1000,Execution Time,1.5025179386138916
0,1,daphneMap,f64,1000,Memory Consumption,127.4140625
0,1,daphneMap,f64,1000,Average CPU Load,16.1
0,1,daphneMap,f64,2896,Execution Time,4.505633592605591
0,1,daphneMap,f64,2896,Memory Consumption,240.12109375
0,1,daphneMap,f64,2896,Average CPU Load,15.899999999999999
0,1,daphneMap,f64,5792,Execution Time,16.520707368850708
0,1,daphneMap,f64,5792,Memory Consumption,623.94140625
0,1,daphneMap,f64,5792,Average CPU Load,13.354545454545455
0,10,daphneMap,f64,100,Execution Time,1.5026185512542725
0,10,daphneMap,f64,100,Memory Consumption,113.4453125
0,10,daphneMap,f64,100,Average CPU Load,20.9
0,10,daphneMap,f64,1000,Execution Time,1.502507209777832
0,10,daphneMap,f64,1000,Memory Consumption,129.16796875
0,10,daphneMap,f64,1000,Average CPU Load,18.1
0,10,daphneMap,f64,2896,Execution Time,6.008186340332031
0,10,daphneMap,f64,2896,Memory Consumption,240.6171875
0,10,daphneMap,f64,2896,Average CPU Load,14.275
0,10,daphneMap,f64,5792,Execution Time,21.026753664016724
0,10,daphneMap,f64,5792,Memory Consumption,623.7421875
0,10,daphneMap,f64,5792,Average CPU Load,13.671428571428573
0,4,daphneMap,f64,100,Execution Time,1.5025861263275146
0,4,daphneMap,f64,100,Memory Consumption,112.9375
0,4,daphneMap,f64,100,Average CPU Load,20.8
0,4,daphneMap,f64,1000,Execution Time,1.502514362335205
0,4,daphneMap,f64,1000,Memory Consumption,128.28125
0,4,daphneMap,f64,1000,Average CPU Load,16.9
0,4,daphneMap,f64,2896,Execution Time,6.008212089538574
0,4,daphneMap,f64,2896,Memory Consumption,241.26171875
0,4,daphneMap,f64,2896,Average CPU Load,12.174999999999999
0,4,daphneMap,f64,5792,Execution Time,18.023147583007812
0,4,daphneMap,f64,5792,Memory Consumption,624.8671875
0,4,daphneMap,f64,5792,Average CPU Load,13.716666666666669
0,1,daphneMap,f32,100,Execution Time,1.5025386810302734
0,1,daphneMap,f32,100,Memory Consumption,111.96484375
0,1,daphneMap,f32,100,Average CPU Load,20.2
0,1,daphneMap,f32,1000,Execution Time,1.502471685409546
0,1,daphneMap,f32,1000,Memory Consumption,120.4921875
0,1,daphneMap,f32,1000,Average CPU Load,16.2
0,1,daphneMap,f32,4096,Execution Time,9.012479782104492
0,1,daphneMap,f32,4096,Memory Consumption,241.09375
0,1,daphneMap,f32,4096,Average CPU Load,12.25
0,1,daphneMap,f32,8192,Execution Time,30.0377357006073
0,1,daphneMap,f32,8192,Memory Consumption,625.421875
0,1,daphneMap,f32,8192,Average CPU Load,13.464999999999998
0,10,daphneMap,f32,100,Execution Time,1.5024847984313965
0,10,daphneMap,f32,100,Memory Consumption,113.72265625
0,10,daphneMap,f32,100,Average CPU Load,21.2
0,10,daphneMap,f32,1000,Execution Time,1.5024518966674805
0,10,daphneMap,f32,1000,Memory Consumption,120.453125
0,10,daphneMap,f32,1000,Average CPU Load,18.5
0,10,daphneMap,f32,4096,Execution Time,10.51375126838684
0,10,daphneMap,f32,4096,Memory Consumption,241.3828125
0,10,daphneMap,f32,4096,Average CPU Load,14.471428571428573
0,10,daphneMap,f32,8192,Execution Time,40.54971385002136
0,10,daphneMap,f32,8192,Memory Consumption,625.19140625
0,10,daphneMap,f32,8192,Average CPU Load,13.299999999999999
0,4,daphneMap,f32,100,Execution Time,1.5023021697998047
0,4,daphneMap,f32,100,Memory Consumption,111.4296875
0,4,daphneMap,f32,100,Average CPU Load,20.3
0,4,daphneMap,f32,1000,Execution Time,1.5025205612182617
0,4,daphneMap,f32,1000,Memory Consumption,120.421875
0,4,daphneMap,f32,1000,Average CPU Load,17.3
0,4,daphneMap,f32,4096,Execution Time,9.012083292007446
0,4,daphneMap,f32,4096,Memory Consumption,240.921875
0,4,daphneMap,f32,4096,Average CPU Load,14.416666666666666
0,4,daphneMap,f32,8192,Execution Time,36.045090436935425
0,4,daphneMap,f32,8192,Memory Consumption,624.5859375
