Run,Operation,Implementation,Datatype,Matrix Size,MetricType,Value
0,1,daphneMap,f64,100,Execution Time,1.5033113956451416
0,1,daphneMap,f64,100,Memory Consumption,113.42578125
0,1,daphneMap,f64,100,Average CPU Load,26.0
0,1,daphneMap,f64,1000,Execution Time,1.5031516551971436
0,1,daphneMap,f64,1000,Memory Consumption,127.1640625
0,1,daphneMap,f64,1000,Average CPU Load,28.9
0,1,daphneMap,f64,2896,Execution Time,6.009809732437134
0,1,daphneMap,f64,2896,Memory Consumption,241.0078125
0,1,daphneMap,f64,2896,Average CPU Load,25.900000000000002
0,1,daphneMap,f64,5792,Execution Time,21.030750036239624
0,1,daphneMap,f64,5792,Memory Consumption,624.5
0,1,daphneMap,f64,5792,Average CPU Load,26.357142857142858
0,10,daphneMap,f64,100,Execution Time,1.5056452751159668
0,10,daphneMap,f64,100,Memory Consumption,113.3203125
0,10,daphneMap,f64,100,Average CPU Load,29.0
0,10,daphneMap,f64,1000,Execution Time,1.503159999847412
0,10,daphneMap,f64,1000,Memory Consumption,127.75
0,10,daphneMap,f64,1000,Average CPU Load,35.9
0,10,daphneMap,f64,2896,Execution Time,7.512022018432617
0,10,daphneMap,f64,2896,Memory Consumption,240.578125
0,10,daphneMap,f64,2896,Average CPU Load,26.78
0,10,daphneMap,f64,5792,Execution Time,45.069602251052856
0,10,daphneMap,f64,5792,Memory Consumption,624.57421875
0,10,daphneMap,f64,5792,Average CPU Load,34.38333333333333
0,4,daphneMap,f64,100,Execution Time,1.503065824508667
0,4,daphneMap,f64,100,Memory Consumption,112.9375
0,4,daphneMap,f64,100,Average CPU Load,27.1
0,4,daphneMap,f64,1000,Execution Time,1.5057017803192139
0,4,daphneMap,f64,1000,Memory Consumption,127.10546875
0,4,daphneMap,f64,1000,Average CPU Load,32.3
0,4,daphneMap,f64,2896,Execution Time,6.009938716888428
0,4,daphneMap,f64,2896,Memory Consumption,240.9375
0,4,daphneMap,f64,2896,Average CPU Load,28.625
0,4,daphneMap,f64,5792,Execution Time,24.035486698150635
0,4,daphneMap,f64,5792,Memory Consumption,624.5
0,4,daphneMap,f64,5792,Average CPU Load,25.718749999999996
0,1,daphneMap,f32,100,Execution Time,1.5049824714660645
0,1,daphneMap,f32,100,Memory Consumption,111.79296875
0,1,daphneMap,f32,100,Average CPU Load,28.1
0,1,daphneMap,f32,1000,Execution Time,1.503169059753418
0,1,daphneMap,f32,1000,Memory Consumption,119.44140625
0,1,daphneMap,f32,1000,Average CPU Load,30.0
0,1,daphneMap,f32,4096,Execution Time,10.51676630973816
0,1,daphneMap,f32,4096,Memory Consumption,240.29296875
0,1,daphneMap,f32,4096,Average CPU Load,25.928571428571423
0,1,daphneMap,f32,8192,Execution Time,39.056443214416504
0,1,daphneMap,f32,8192,Memory Consumption,625.015625
0,1,daphneMap,f32,8192,Average CPU Load,26.48076923076923
0,10,daphneMap,f32,100,Execution Time,1.5032501220703125
0,10,daphneMap,f32,100,Memory Consumption,113.6171875
0,10,daphneMap,f32,100,Average CPU Load,28.2
0,10,daphneMap,f32,1000,Execution Time,1.5063397884368896
0,10,daphneMap,f32,1000,Memory Consumption,120.17578125
0,10,daphneMap,f32,1000,Average CPU Load,33.4
0,10,daphneMap,f32,4096,Execution Time,13.520362854003906
0,10,daphneMap,f32,4096,Memory Consumption,241.39453125
0,10,daphneMap,f32,4096,Average CPU Load,27.977777777777774
0,10,daphneMap,f32,8192,Execution Time,51.07866978645325
0,10,daphneMap,f32,8192,Memory Consumption,624.94140625
0,10,daphneMap,f32,8192,Average CPU Load,26.70588235294118
0,4,daphneMap,f32,100,Execution Time,1.5033149719238281
0,4,daphneMap,f32,100,Memory Consumption,111.78125
0,4,daphneMap,f32,100,Average CPU Load,28.6
0,4,daphneMap,f32,1000,Execution Time,1.5031790733337402
0,4,daphneMap,f32,1000,Memory Consumption,120.5390625
0,4,daphneMap,f32,1000,Average CPU Load,30.7
0,4,daphneMap,f32,4096,Execution Time,12.018365144729614
0,4,daphneMap,f32,4096,Memory Consumption,241.578125
0,4,daphneMap,f32,4096,Average CPU Load,27.275000000000002
0,4,daphneMap,f32,8192,Execution Time,43.56389355659485
0,4,daphneMap,f32,8192,Memory Consumption,624.7265625
0,4,daphneMap,f32,8192,Average CPU Load,27.29655172413793
0,1,daphneMap,int64,100,Execution Time,1.50325608253479
0,1,daphneMap,int64,100,Memory Consumption,113.2109375
0,1,daphneMap,int64,100,Average CPU Load,28.4
0,1,daphneMap,int64,1000,Execution Time,1.5031492710113525
0,1,daphneMap,int64,1000,Memory Consumption,127.05078125
0,1,daphneMap,int64,1000,Average CPU Load,30.0
0,1,daphneMap,int64,2896,Execution Time,6.008795976638794
0,1,daphneMap,int64,2896,Memory Consumption,240.2265625
0,1,daphneMap,int64,2896,Average CPU Load,26.974999999999998
0,1,daphneMap,int64,5792,Execution Time,21.02857732772827
0,1,daphneMap,int64,5792,Memory Consumption,624.0546875
0,1,daphneMap,int64,5792,Average CPU Load,26.442857142857147
0,10,daphneMap,int64,100,Execution Time,1.5032122135162354
0,10,daphneMap,int64,100,Memory Consumption,113.62890625
0,10,daphneMap,int64,100,Average CPU Load,28.3
0,10,daphneMap,int64,1000,Execution Time,1.5032367706298828
0,10,daphneMap,int64,1000,Memory Consumption,127.90234375
0,10,daphneMap,int64,1000,Average CPU Load,35.3
0,10,daphneMap,int64,2896,Execution Time,7.512295722961426
0,10,daphneMap,int64,2896,Memory Consumption,240.57421875
0,10,daphneMap,int64,2896,Average CPU Load,27.619999999999997
0,10,daphneMap,int64,5792,Execution Time,27.03934359550476
0,10,daphneMap,int64,5792,Memory Consumption,624.58984375
0,10,daphneMap,int64,5792,Average CPU Load,27.494444444444444
0,4,daphneMap,int64,100,Execution Time,1.5033774375915527
0,4,daphneMap,int64,100,Memory Consumption,112.7109375
0,4,daphneMap,int64,100,Average CPU Load,26.5
0,4,daphneMap,int64,1000,Execution Time,1.503345012664795
0,4,daphneMap,int64,1000,Memory Consumption,127.9140625
0,4,daphneMap,int64,1000,Average CPU Load,32.2
0,4,daphneMap,int64,2896,Execution Time,7.511380195617676
0,4,daphneMap,int64,2896,Memory Consumption,241.23828125
0,4,daphneMap,int64,2896,Average CPU Load,23.3
0,4,daphneMap,int64,5792,Execution Time,24.034228801727295
0,4,daphneMap,int64,5792,Memory Consumption,625.265625
0,4,daphneMap,int64,5792,Average CPU Load,27.312499999999996
0,1,daphneMap,int32,100,Execution Time,1.503145694732666
0,1,daphneMap,int32,100,Memory Consumption,112.875
0,1,daphneMap,int32,100,Average CPU Load,27.9
0,1,daphneMap,int32,1000,Execution Time,1.505445957183838
0,1,daphneMap,int32,1000,Memory Consumption,120.6328125
0,1,daphneMap,int32,1000,Average CPU Load,30.1
0,1,daphneMap,int32,4096,Execution Time,10.516310214996338
0,1,daphneMap,int32,4096,Memory Consumption,257.39453125
0,1,daphneMap,int32,4096,Average CPU Load,28.685714285714287
0,1,daphneMap,int32,8192,Execution Time,40.556880712509155
0,1,daphneMap,int32,8192,Memory Consumption,833.015625
0,1,daphneMap,int32,8192,Average CPU Load,27.633333333333333
0,10,daphneMap,int32,100,Execution Time,1.5034544467926025
0,10,daphneMap,int32,100,Memory Consumption,113.25
0,10,daphneMap,int32,100,Average CPU Load,29.4
0,10,daphneMap,int32,1000,Execution Time,1.5053043365478516
0,10,daphneMap,int32,1000,Memory Consumption,120.6328125
0,10,daphneMap,int32,1000,Average CPU Load,36.5
0,10,daphneMap,int32,4096,Execution Time,15.02263355255127
0,10,daphneMap,int32,4096,Memory Consumption,249.90234375
0,10,daphneMap,int32,4096,Average CPU Load,25.06
0,10,daphneMap,int32,8192,Execution Time,55.57700824737549
0,10,daphneMap,int32,8192,Memory Consumption,863.19921875
0,10,daphneMap,int32,8192,Average CPU Load,26.68648648648649
0,4,daphneMap,int32,100,Execution Time,1.50315523147583
0,4,daphneMap,int32,100,Memory Consumption,111.55859375
0,4,daphneMap,int32,100,Average CPU Load,28.4
0,4,daphneMap,int32,1000,Execution Time,1.503326416015625
0,4,daphneMap,int32,1000,Memory Consumption,120.48828125
0,4,daphneMap,int32,1000,Average CPU Load,32.3
0,4,daphneMap,int32,4096,Execution Time,13.521142959594727
0,4,daphneMap,int32,4096,Memory Consumption,291.0078125
0,4,daphneMap,int32,4096,Average CPU Load,25.244444444444447
0,4,daphneMap,int32,8192,Execution Time,48.07242298126221
0,4,daphneMap,int32,8192,Memory Consumption,792.953125
0,4,daphneMap,int32,8192,Average CPU Load,26.740624999999994
0,1,daphneMap,int8,100,Execution Time,1.5031449794769287
0,1,daphneMap,int8,100,Memory Consumption,111.4375
0,1,daphneMap,int8,100,Average CPU Load,27.2
0,1,daphneMap,int8,1000,Execution Time,1.5031914710998535
0,1,daphneMap,int8,1000,Memory Consumption,115.30859375
0,1,daphneMap,int8,1000,Average CPU Load,30.7
0,1,daphneMap,int8,8192,Execution Time,40.5601646900177
0,1,daphneMap,int8,8192,Memory Consumption,666.65625
0,1,daphneMap,int8,8192,Average CPU Load,26.78148148148148
0,1,daphneMap,int8,16384,Execution Time,160.72470808029175
0,1,daphneMap,int8,16384,Memory Consumption,2414.16015625
0,1,daphneMap,int8,16384,Average CPU Load,26.707476635514027
0,10,daphneMap,int8,100,Execution Time,1.5033519268035889
0,10,daphneMap,int8,100,Memory Consumption,112.640625
0,10,daphneMap,int8,100,Average CPU Load,29.2
0,10,daphneMap,int8,1000,Execution Time,1.5037758350372314
0,10,daphneMap,int8,1000,Memory Consumption,115.06640625
0,10,daphneMap,int8,1000,Average CPU Load,36.2
0,10,daphneMap,int8,8192,Execution Time,54.076098680496216
0,10,daphneMap,int8,8192,Memory Consumption,656.41796875
0,10,daphneMap,int8,8192,Average CPU Load,27.063888888888894
0,10,daphneMap,int8,16384,Execution Time,219.305650472641
0,10,daphneMap,int8,16384,Memory Consumption,2369.1953125
0,10,daphneMap,int8,16384,Average CPU Load,26.802739726027397
0,4,daphneMap,int8,100,Execution Time,1.504873514175415
0,4,daphneMap,int8,100,Memory Consumption,111.69140625
0,4,daphneMap,int8,100,Average CPU Load,28.4
0,4,daphneMap,int8,1000,Execution Time,1.5032498836517334
0,4,daphneMap,int8,1000,Memory Consumption,115.38671875
0,4,daphneMap,int8,1000,Average CPU Load,32.2
0,4,daphneMap,int8,8192,Execution Time,48.068408727645874
0,4,daphneMap,int8,8192,Memory Consumption,648.14453125
0,4,daphneMap,int8,8192,Average CPU Load,27.075
0,4,daphneMap,int8,16384,Execution Time,187.76531887054443
0,4,daphneMap,int8,16384,Memory Consumption,2379.16796875
0,4,daphneMap,int8,16384,Average CPU Load,26.456799999999998
0,1,daphneMap,uint64,100,Execution Time,1.5031437873840332
0,1,daphneMap,uint64,100,Memory Consumption,114.078125
0,1,daphneMap,uint64,100,Average CPU Load,27.2
0,1,daphneMap,uint64,1000,Execution Time,1.503345251083374
0,1,daphneMap,uint64,1000,Memory Consumption,127.41796875
0,1,daphneMap,uint64,1000,Average CPU Load,29.7
0,1,daphneMap,uint64,2896,Execution Time,6.009831666946411
0,1,daphneMap,uint64,2896,Memory Consumption,240.41796875
0,1,daphneMap,uint64,2896,Average CPU Load,27.225
0,1,daphneMap,uint64,5792,Execution Time,21.031163454055786
0,1,daphneMap,uint64,5792,Memory Consumption,624.33203125
0,1,daphneMap,uint64,5792,Average CPU Load,26.971428571428568
0,10,daphneMap,uint64,100,Execution Time,1.503014087677002
0,10,daphneMap,uint64,100,Memory Consumption,113.76171875
0,10,daphneMap,uint64,100,Average CPU Load,28.8
0,10,daphneMap,uint64,1000,Execution Time,1.5033259391784668
0,10,daphneMap,uint64,1000,Memory Consumption,127.31640625
0,10,daphneMap,uint64,1000,Average CPU Load,35.1
0,10,daphneMap,uint64,2896,Execution Time,7.511869430541992
0,10,daphneMap,uint64,2896,Memory Consumption,241.69140625
0,10,daphneMap,uint64,2896,Average CPU Load,26.939999999999998
0,10,daphneMap,uint64,5792,Execution Time,27.039409160614014
0,10,daphneMap,uint64,5792,Memory Consumption,624.81640625
0,10,daphneMap,uint64,5792,Average CPU Load,27.53333333333333
0,4,daphneMap,uint64,100,Execution Time,1.503622055053711
0,4,daphneMap,uint64,100,Memory Consumption,113.3515625
0,4,daphneMap,uint64,100,Average CPU Load,27.0
0,4,daphneMap,uint64,1000,Execution Time,1.5032083988189697
0,4,daphneMap,uint64,1000,Memory Consumption,128.15625
0,4,daphneMap,uint64,1000,Average CPU Load,33.1
0,4,daphneMap,uint64,2896,Execution Time,7.5116119384765625
0,4,daphneMap,uint64,2896,Memory Consumption,240.5703125
0,4,daphneMap,uint64,2896,Average CPU Load,23.439999999999998
0,4,daphneMap,uint64,5792,Execution Time,25.53678250312805
0,4,daphneMap,uint64,5792,Memory Consumption,625.00390625
