Run,Operation,Implementation,Datatype,Matrix Size,MetricType,Value
0,1,daphneMap,f64,100,Execution Time,1.5034594535827637
0,1,daphneMap,f64,100,Memory Consumption,111.3515625
0,1,daphneMap,f64,100,Average CPU Load,29.3
0,1,daphneMap,f64,1000,Execution Time,1.5058557987213135
0,1,daphneMap,f64,1000,Memory Consumption,127.20703125
0,1,daphneMap,f64,1000,Average CPU Load,30.6
0,1,daphneMap,f64,2896,Execution Time,6.009413003921509
0,1,daphneMap,f64,2896,Memory Consumption,239.1640625
0,1,daphneMap,f64,2896,Average CPU Load,29.55
0,1,daphneMap,f64,5792,Execution Time,21.031062841415405
0,1,daphneMap,f64,5792,Memory Consumption,624.0
0,1,daphneMap,f64,5792,Average CPU Load,26.53571428571429
0,4,daphneMap,f64,100,Execution Time,1.5028138160705566
0,4,daphneMap,f64,100,Memory Consumption,112.0546875
0,4,daphneMap,f64,100,Average CPU Load,26.1
0,4,daphneMap,f64,1000,Execution Time,1.503143310546875
0,4,daphneMap,f64,1000,Memory Consumption,126.72265625
0,4,daphneMap,f64,1000,Average CPU Load,31.8
0,4,daphneMap,f64,2896,Execution Time,6.010443210601807
0,4,daphneMap,f64,2896,Memory Consumption,240.1015625
0,4,daphneMap,f64,2896,Average CPU Load,29.174999999999997
0,4,daphneMap,f64,5792,Execution Time,22.532378673553467
0,4,daphneMap,f64,5792,Memory Consumption,623.484375
0,4,daphneMap,f64,5792,Average CPU Load,27.486666666666668
0,5,daphneMap,f64,100,Execution Time,1.5038714408874512
0,5,daphneMap,f64,100,Memory Consumption,113.3671875
0,5,daphneMap,f64,100,Average CPU Load,29.4
0,5,daphneMap,f64,1000,Execution Time,1.503284215927124
0,5,daphneMap,f64,1000,Memory Consumption,128.52734375
0,5,daphneMap,f64,1000,Average CPU Load,35.4
0,5,daphneMap,f64,2896,Execution Time,9.014127016067505
0,5,daphneMap,f64,2896,Memory Consumption,239.65234375
0,5,daphneMap,f64,2896,Average CPU Load,25.466666666666665
0,5,daphneMap,f64,5792,Execution Time,31.544500827789307
0,5,daphneMap,f64,5792,Memory Consumption,623.9765625
0,5,daphneMap,f64,5792,Average CPU Load,26.27142857142857
